cell_type_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
B cell,0.2165725,1.6575662,0.4864468,1.4405587,0.30054855,1.0484941,0.2774829,0.999601,1.2164699,2.2747495,0.51319546,0.38422212,0.09060054,1.2141799,0.05145229,0.65443575,0.46431738,0.31144753,0.34795457,0.37651205,0.52551734,0.5199227,1.0399926,0.40318695,0.09075087,0.33016658,0.7604925,0.9961046,0.13024424,0.25048417,0.78690207,0.24219677,0.26786023,0.14762795,0.68740207,0.23500979,0.5606535,0.045534875,0.29505464,0.28442344,2.8391504,2.9127662,0.164398,1.1631647,0.897268,0.14177744,0.7766728,0.864057,1.2055987,0.5167777,0.187125,0.067729555,0.80486065,0.85292614,0.50222445,0.40527892,0.7085766,0.3194692,0.36269975,0.2135937,0.22912161,0.7927776,0.052425783,0.788113,0.5068284,0.9597836,0.30415058,0.64509714,0.26088178,1.1342167,0.31436533,2.0609198,0.6678941,0.11814826,0.7047515,0.2009297,0.67514133,1.6631266,0.36667538,1.3717334,0.5662,1.2164161,1.5719837,0.47037852,1.3314599,1.9537317,0.53756136,0.21342562,0.49931818,0.078671865,1.5647633,0.33272338,0.37939855,1.7361388,0.14485908,1.8517601,0.03765279,0.31001276,0.8212286,0.24285008,0.63478297,0.45258835,0.26597676,0.23691651,0.17419161,0.07666678,0.5884379,0.9848858,1.3682258,0.7562481,0.3883998,1.2533793,3.8033261,1.890458,1.9244602,0.9715792,0.5351338,0.07967813,0.4933976,0.34239805,0.2384392,0.97981644,0.43848583,1.491465,0.7714136,0.7268893,0.3085855,0.13841207
Bergmann glial cell,0.034370095,0.32356396,0.012756025,0.15255764,0.59888434,0.6455734,0.113512926,5.043242,0.04232157,0.09586742,0.12929367,0.07182276,0.007951455,0.12557602,0.0525916,1.3446391,1.5330851,0.01125125,0.076087154,2.0026064,0.01896968,1.9321539,0.014190483,0.8582243,0.26583296,0.008095101,0.043978825,0.22502199,0.082594045,0.53925204,0.002014775,0.8074881,2.7649946,0.0045691165,1.8047769,0.062514864,4.905343,0.0018504648,0.022546442,0.21935192,0.08437014,0.03080027,0.11821322,5.580043,0.010359206,0.4794717,0.27351138,0.07958125,3.129227,0.8976041,0.011082642,2.2176368,0.009495061,6.138888,0.1873093,0.0023478805,0.016990336,2.6156738,0.003753321,0.0073588067,0.5467274,1.9398229,2.2159188,0.2940789,2.858924,0.00785387,0.09403714,2.1113951,2.7403305,4.8640513,2.5905306,0.34745333,0.009834384,0.012031857,0.46488425,0.0905486,3.4192603,1.2074766,0.14432734,0.3944898,0.03333538,2.3332675,0.570501,0.3026962,0.0386222,0.013663065,0.5991443,0.87295943,0.006315653,2.0873637,0.039431747,0.14267755,0.21662001,0.841427,0.008250234,0.14287542,0.030191125,5.8631396,0.1549346,1.0258445,0.030700356,0.0066105034,2.7936862,2.5783374,0.010365774,2.7454243,0.015715694,0.36267334,0.08523133,4.6276846,5.0936213,1.3947507,0.009997358,0.058074463,0.1509006,0.082436986,0.004308455,5.4971576,0.003904584,2.6248925,0.66478753,4.047603,0.66945094,3.2833028,1.1309701,4.268102,0.04733685,4.6246743
"CD14-low, CD16-positive monocyte",1.254785,0.10614863,1.2245942,0.055329654,0.16107732,0.06657335,0.13327864,0.8037077,0.14340465,3.2611887,2.70169,0.9845393,0.3931056,0.022785913,1.988185,2.630942,1.6320515,0.06024637,1.6564549,0.07751981,1.1035908,0.04381325,0.005569985,2.716553,2.4552276,0.09236645,1.9400027,0.03307633,0.031364266,0.7610463,1.7032123,0.6192788,3.3804352,0.021007035,0.30635828,0.4918936,1.0894097,0.16555713,0.14343876,0.14044526,2.3631732,0.17881477,0.3248108,0.33628392,0.01529253,0.02784849,1.998295,0.27110532,0.4450977,0.08784565,0.8881149,0.017842395,0.18448736,0.38575736,0.010866941,2.7944932,0.13947795,0.34126225,2.363242,0.47114748,0.12380389,0.96679837,1.9718013,0.023538528,1.0811484,2.3706038,0.028219013,3.3092515,0.005559871,2.39115,0.071829036,2.551043,0.13204053,0.052670702,0.136168,0.40719146,0.45717147,1.234689,0.015234576,0.07866681,0.31016582,0.2216669,0.96183383,3.2737582,1.8302186,0.08272779,0.8402201,2.5251565,0.61681944,1.3347415,0.003912675,0.3238377,1.6767951,0.46993402,0.107982226,0.09612546,1.9470383,4.1560736,1.6602736,0.069102496,0.010143533,1.4806858,2.5154288,1.9702079,1.2513559,0.19308802,1.400496,0.022390936,0.0071947253,0.9198014,0.45861956,3.4052784,0.017403508,1.6881194,1.4855936,0.0047408054,0.915906,0.03479568,0.81944007,0.56895536,0.0014351973,0.01289114,1.0930382,1.9806327,0.20795807,0.31959632,0.5880918,0.0034705265
CD14-positive monocyte,0.28357276,0.4316855,0.5905231,0.683262,4.097441,0.5683143,0.2283097,0.052372374,1.4558934,1.4652795,0.9079323,2.071286,0.87568134,0.046584196,1.4881731,0.9485722,1.5356697,3.2204993,1.5419762,0.12449275,0.929235,0.37111714,0.05069977,0.61275125,1.1088544,2.2308903,1.7264384,0.3102416,0.43699643,0.06438667,2.165176,0.13711151,1.5983557,2.1937668,0.15220751,0.29556933,0.5639376,1.0125304,0.35419497,0.4268257,0.52091205,0.16951963,0.10543318,0.36157787,3.2837214,0.27388853,0.89272404,0.79724455,0.49771902,0.69697386,0.2227291,2.6687617,0.14921507,1.2043104,0.33039704,2.4414887,0.19304425,1.8140825,0.09110968,0.5450535,0.71580434,0.24586053,0.58075345,0.09921744,0.29411566,0.53588885,0.07014927,1.3091561,0.02422187,1.002278,1.0348716,1.9579611,0.26818347,2.2166147,0.15483887,0.9313434,0.081305176,1.1949369,0.019083975,0.24092023,0.2488358,0.13512297,2.0508955,0.06919563,1.7377781,0.32598713,2.6691306,2.07895,0.85698164,1.1574183,0.06952426,1.151847,1.4022311,0.6491142,0.65661776,0.87886167,1.8582097,2.5728288,0.89851785,0.09415256,0.098234765,1.9691054,2.7729046,1.2090654,0.64539105,1.1982429,2.1319356,0.13386479,0.10213153,0.7132912,2.3113296,0.23800924,0.7091665,0.4545665,0.029266937,0.155975,0.8040262,0.93161756,0.5471719,0.28889984,0.17510098,0.07486419,0.18730828,0.11915041,1.2033304,0.3917008,1.9031328,0.03881872
"CD14-positive, CD16-negative classical monocyte",0.41909903,0.008192626,0.3918682,0.70798516,2.4504893,1.2821064,0.26740226,1.3093674,2.1747913,1.1016619,0.03423282,0.007504579,0.9596469,0.3157812,0.2090005,1.3899632,0.08282549,2.68002,1.1646535,0.051029876,0.42907047,1.8982095,0.07177444,0.63932073,1.325423,0.02753487,0.5750912,0.39943567,1.6734662,0.11565988,0.057268444,0.026591294,1.3975744,0.044714313,2.1548858,0.07497669,0.079684086,1.3555865,2.6259198,1.472714,0.01861299,1.8946725,0.14734733,0.3287927,3.8743644,1.3371629,0.08032122,0.52208513,0.51020014,2.3898485,0.1294491,2.231884,0.22011757,2.5990558,1.2468306,0.6174022,0.3217445,1.2291882,0.09927325,0.07700013,1.1846741,0.2923413,0.48038426,1.6123625,0.593179,0.9786342,2.8932045,2.5072417,0.022698533,0.06150973,0.650579,2.1172478,0.32819,1.9117248,0.19275928,0.033828948,0.17046052,0.568917,0.16112271,0.3433134,0.94334865,2.0139344,2.204077,0.03637782,0.62368673,0.12300024,0.4557714,0.389083,0.5531234,0.14258343,0.025771746,0.21350168,0.40210503,0.72455746,2.3238773,0.4876052,2.745866,1.0398101,0.7748398,0.75839573,0.7192692,0.43544,0.19648148,0.59361964,2.316301,2.112003,0.06317149,0.38270396,0.17055352,0.77095705,1.8496075,1.9425888,1.7847315,0.2638047,0.027582023,0.19257483,0.12390953,0.08320049,0.5475618,0.25152335,0.2605376,0.4636805,1.479947,0.058100455,1.7012655,0.036233522,0.007331362,1.5564114
"CD14-positive, CD16-positive monocyte",0.20785725,0.016927881,1.2294478,0.038281597,0.598636,0.050636377,0.05206667,0.050648883,6.1523046,4.0245333,0.06599507,0.24851538,0.20251997,2.4654057,1.795368,1.8170068,0.7194474,0.8278267,3.0706737,0.123617485,3.4136171,3.0202525,0.002098198,2.1630344,4.616698,0.027920967,2.2932208,0.29690543,2.14914,0.0023276363,0.022020996,0.0041755494,2.7101014,1.5137523,0.036684394,0.0059187505,1.142213,0.021195523,3.5667756,1.0881858,0.24587898,3.435123,0.035418805,2.2640238,0.14563563,0.0024488755,0.022247635,0.47303042,1.9586535,5.340637,1.5944545,0.03491306,0.06896526,0.026522862,2.6778336,0.1736655,1.1257727,1.2628803,0.5745234,0.008824465,0.030150356,1.7450118,0.5995187,0.10518059,2.5760722,3.2654815,0.25939828,1.1039011,0.026394688,0.44741777,1.8847251,4.779077,3.3194551,0.10656349,0.18403792,0.0021593024,0.5074627,0.029485865,0.06646074,0.011299101,1.914863,1.7385274,2.4632883,0.029567476,0.15435956,0.07165545,4.0367208,0.0036399306,2.4362316,1.6306803,0.0028874555,0.9320388,3.3702936,4.520454,0.006578201,0.97835994,4.0651183,1.2800875,0.08022577,0.038428646,0.5486094,0.12432027,0.0041994913,0.1376783,1.1259263,0.049628634,0.0055618286,0.171742,1.8133823,0.15527143,0.22195335,3.6762044,0.010008412,2.2198565,0.008734591,0.0017437211,0.00676383,0.5701715,3.3870435,1.4910414,0.018489376,0.020721849,0.840925,0.052486584,1.9101372,1.2539252,0.015308117,0.15266728
"CD16-negative, CD56-bright natural killer cell, human",0.48847914,0.051870454,0.07403156,0.36903772,0.007738266,0.7132964,0.050872114,0.24830338,3.1058218,0.10722468,0.22059357,0.8081767,0.044456188,0.26786584,0.13400269,2.248876,3.075572,1.2271619,3.3186858,0.37253454,3.3622384,1.4823676,1.2576711,1.0200075,0.053798363,1.1415647,0.029668717,2.621269,0.07510155,0.20658915,3.4967804,3.0435882,0.23205407,0.095388435,2.267876,0.35048324,0.15634258,0.43779427,3.0584636,0.5626616,0.13427064,0.04163843,0.056061793,0.014074193,0.26360524,0.6624229,0.663904,2.1079543,0.3011692,1.1229124,0.25463602,1.8801844,0.77101815,0.036659498,0.81877565,0.3678847,0.13599057,2.3896682,4.125565,1.255875,0.34667578,2.6030443,0.2779696,0.09774188,0.029899044,1.8725375,1.627292,0.17544276,0.4405633,0.0766121,0.03125938,5.506385,0.6074119,1.869562,0.1745822,0.5806567,0.62225866,0.12336655,2.4644365,0.81179327,1.9858537,0.02569839,0.16121069,1.7100617,0.684479,5.066902,0.48565054,1.6329929,1.1250702,2.9824288,3.4352105,0.324546,1.0216135,4.669035,3.494377,1.0066682,6.184197,0.5838287,3.2019796,3.9248374,0.2859112,0.43490258,0.09609084,0.24841617,2.4370573,3.0952165,3.187487,0.06000741,0.08178106,3.7436547,0.38005948,1.436739,0.10050301,1.9045941,3.0439396,0.85007244,1.0326632,0.21176632,0.100399725,0.8000823,0.61083,0.24764381,0.096078664,1.7971066,0.010588544,0.044144798,0.7676934,0.11685291
"CD16-positive, CD56-dim natural killer cell, human",3.077305,0.07248142,0.22147097,0.31949306,0.2205329,1.1252731,0.21673998,0.79059637,2.3391223,0.5780699,1.2797259,1.2670871,0.08244424,0.042870544,0.14630151,1.6877156,2.5153637,0.32174537,1.0028934,0.31935078,1.9604888,0.020874012,0.33931905,1.2760636,0.34521028,0.12945141,2.3815377,1.280682,1.9000441,0.9219843,0.4904123,0.8923736,0.44956046,0.8062809,0.5850546,0.5851135,1.8446597,0.7306195,1.6920258,0.53389674,0.08777495,0.022956574,0.18961248,0.7663804,0.14320031,1.9024558,0.8925496,1.5614268,0.037951857,1.538958,0.20811354,1.4339389,0.19762799,0.7783059,0.09623314,0.7905876,0.039021313,0.88701975,0.54389685,0.95824504,1.099987,0.7923155,1.0217793,1.9733853,1.9987617,0.1421508,1.1061267,0.51283354,2.509067,1.1505077,1.9278363,1.848157,0.18574524,0.9625805,0.6319335,0.2772185,0.12300269,0.4273582,1.4490275,1.4255283,0.0826457,0.14317998,2.3820353,1.3208649,0.9334033,3.2796352,0.8763415,0.15073203,0.05066155,0.85642153,0.4334324,0.15982668,1.1053603,1.8582388,2.2405322,0.30587608,2.655102,0.021066887,0.294637,0.7160262,0.33945683,0.6115822,0.8933734,0.21659955,2.5546024,0.6165416,1.9885619,0.1560263,0.14077117,0.963511,1.5176847,3.5172203,0.20259088,0.51739746,2.6806839,0.76279086,0.050069787,0.9980109,0.5771939,0.4745609,1.7779291,1.8970076,0.89028907,0.34899238,0.16826473,3.1446712,0.48455462,2.3947637
CD1c-positive myeloid dendritic cell,2.1853228,3.430009,0.6997861,1.2178515,0.2808283,1.235109,4.311035,0.15228164,0.7897473,4.0661306,1.8331327,0.6262711,0.056047898,0.20769405,4.7718697,1.7156332,0.0471663,4.4724116,0.33009285,2.938596,3.094921,0.37929124,0.08301279,0.20530207,1.2895777,2.4687467,2.7227795,0.05024039,0.39298633,0.53507197,1.0433573,0.054274205,0.015935294,5.227515,0.031974614,0.8800729,2.8624043,0.07959544,0.8734728,0.036912035,2.1559036,1.0787394,0.028953003,1.5002394,0.68092513,0.0040310663,1.347498,0.004885621,0.53395474,0.16826321,0.020501832,0.15348184,0.08589586,0.40323383,0.0060321856,0.029642265,0.0059395004,0.5754504,0.03254853,2.2463102,1.9400399,0.35701603,0.87265575,0.036000043,0.54113257,0.8329664,0.61082363,0.22226958,0.046829447,0.2564269,3.559934,4.867591,0.017623603,1.510879,1.0710362,0.38293093,0.8533108,0.24307854,0.15971938,1.3896288,0.1882522,1.643415,0.53372663,0.051278584,0.6101496,0.11132642,2.9362652,0.5224337,3.3079505,0.14641345,0.03562966,1.8629882,2.5362499,1.2555282,3.9940748,2.062205,0.7245357,0.016215932,0.011226394,0.7542112,0.77399427,0.1425758,3.6761568,2.0692408,0.6007183,0.10050312,0.02314905,0.70659447,1.4743564,0.01921712,0.123584904,0.651481,1.2194787,0.4143265,2.1291451,2.0824113,0.22054665,0.49466297,0.014367538,0.6314475,1.4076198,1.9975168,0.07893583,0.098787405,3.7863662,3.0034158,2.0140462,0.060605474
CD4-positive helper T cell,0.15264168,0.23398113,0.5994326,0.976606,1.2235448,1.6188809,3.3240395,1.1590968,2.1719158,0.6380293,0.028538799,0.023949571,0.15761833,0.33131564,3.4621387,1.3466827,2.5496576,0.7780008,2.7777631,0.79159355,2.4048123,3.7425585,0.067835346,1.1957809,0.5220324,1.234045,0.13967077,1.471945,0.7704741,2.842535,0.18098414,0.104294255,0.17952766,2.2769613,0.6759092,2.5229478,0.12023323,3.0243227,0.04345532,3.5828764,0.092290014,0.038393516,0.18986548,1.100506,3.2943194,0.113073066,0.17178075,0.09924696,0.66079926,0.045431394,3.7708573,0.1527917,0.17171383,0.8959968,0.5756118,1.5013459,0.70687735,0.62800795,2.202719,0.1583424,0.2626932,0.096902125,0.067535944,4.2256656,0.9112914,2.628124,1.3148948,0.39941728,2.756715,0.5040213,3.8691826,0.11178642,0.16249394,1.2060113,3.139164,0.6903901,2.4093783,0.031233003,0.027700962,0.74790543,2.0615385,3.6068501,1.8352138,1.2423415,0.023936875,3.8636563,0.02421229,1.7474248,1.9982592,1.5783968,0.39524212,0.4372646,0.034222662,0.25635126,0.4336613,0.1587857,2.1611452,0.0589137,1.5431571,2.395454,0.44802642,1.1909312,4.8822937,3.010083,1.917434,0.043651722,0.93275803,0.26158524,0.8618795,0.14200908,2.7432325,0.63430023,0.010246844,0.076875515,0.26521218,2.8177736,2.0604608,2.8624034,0.8609284,0.27110368,0.09106312,2.5232043,0.7821291,2.4406638,2.9411364,1.0926269,0.023359684,2.1614437
