download link,publication index,dataset index,doi link,publication title,author,bytes,size,organisms,modality,zenodo id,file extension,method,tissues,number of perturbations,perturbation,disease,cell type,tissue type,cancer,multiple_time_points,multiple_concentrations,combined_perturbations,date_of_submission,year
https://zenodo.org/record/7041849/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad,AdamsonWeissman2016,GSM2406675_10X001,https://doi.org/10.1016/j.cell.2016.11.048,A multiplexed single-cell CRISPR screening platform enables systematic dissection of the unfolded protein response,Britt Adamson,34557246,32.96 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,9,CRISPRi,Chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2019,2019
https://zenodo.org/record/7041849/files/AdamsonWeissman2016_GSM2406677_10X005.h5ad,AdamsonWeissman2016,GSM2406677_10X005,https://doi.org/10.1016/j.cell.2016.11.048,A multiplexed single-cell CRISPR screening platform enables systematic dissection of the unfolded protein response,Britt Adamson,139059637,132.62 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,20,CRISPRi,Chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,y,01.10.2019,2019
https://zenodo.org/record/7041849/files/AdamsonWeissman2016_ GSM2406681_10X010.h5ad,AdamsonWeissman2016,GSM2406681_10X010,https://doi.org/10.1016/j.cell.2016.11.048,A multiplexed single-cell CRISPR screening platform enables systematic dissection of the unfolded protein response,Britt Adamson,-1,Unknown size,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,114,CRISPRi,Chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,y,01.10.2019,2019
https://zenodo.org/record/7041849/files/AissaBenevolenskaya2021.h5ad,AissaBenevolenskaya2021,,https://doi.org/10.1038/s41467-021-21884-z,"Single-cell transcriptional changes associated with
drug tolerance and response to combination
therapies in cancer",Alexandre Aissa,45919115,43.79 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,Drop-Seq,"cell lines, patient tissue, mouse xenografts",4,drugs,Lung adenocarcinoma,Lung adenocarcinoma,cell_line,y,no,n,y,01.11.2020,2020
https://zenodo.org/record/7041849/files/ChangYe2021.h5ad,ChangYe2021,,https://doi.org/10.1038/s41587-021-01005-3,Identifying transcriptional programs underlying cancer drug response with TraCe-seq,Matthew Chang,501823050,478.58 MB,Homo sapiens,RNA,7041849,h5ad,clonal tagging (TraCe-seq),"lung and breast cancer cell lines PC9, MCF-10A, MDA-MB-231, NCI-H358, and NCI-H1373",4,drugs,lung adenocarcinoma,Lung adenocarcinoma,cell_line,y,n,n,n,01.08.2021,2021
https://zenodo.org/record/7041849/files/DatlingerBock2017.h5ad,DatlingerBock2017,,https://doi.org/10.1038/nmeth.4177,Pooled CRISPR screening with single-cell transcriptome readout,Paul Datlinger,39085166,37.27 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,CROP-seq,Jurkat cells (immune cancer),97,"CRISPR-cas9, TCR stim",acute T cell leukemia,T cells,cell_line,y,n,n,y,01.12.2016,2016
https://zenodo.org/record/7041849/files/DatlingerBock2021.h5ad,DatlingerBock2021,,https://doi.org/10.1038/s41592-021-01153-z,Ultra-high-throughput single-cell RNA sequencing and perturbation screening with combinatorial fluidic indexing,Paul Datlinger,33600780,32.04 MB,Homo sapiens,RNA,7041849,h5ad,scifi-RNA-seq (derived from CROP-seq),Jurkat,48,"CRISPR-cas9, TCR stim",acute T cell leukemia,T cells,cell_line,y,n,n,y,01.12.2019,2019
https://zenodo.org/record/7041849/files/DixitRegev2016.h5ad,DixitRegev2016,,https://doi.org/10.1016/j.cell.2016.11.038,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,Atray Dixit,309282071,294.95 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,Perturb-seq,K562,31,CRISPR-cas9,myelogenous leukemia,lymphoblasts,,y,partially (TF knockout screen 7 and 13 dpi),n,y,01.11.2016,2016
https://zenodo.org/record/7041849/files/FrangiehIzar2021_RNA.h5ad,FrangiehIzar2021,RNA,https://doi.org/10.1038/s41588-021-00779-1,Multimodal pooled Perturb-CITE-seq screens in patient models define mechanisms of cancer immune evasion,Chris Frangieh,1458928348,1.36 GB,Homo sapiens,RNA + protein (RNA),7041849,h5ad,Perturb-CITE-seq,co-culture of melanoma and TILs,249,CRISPR-cas9,melanoma,melanocytes,primary,n,n,n,n,01.08.2020,2020
https://zenodo.org/record/7041849/files/FrangiehIzar2021_protein.h5ad,FrangiehIzar2021,protein,https://doi.org/10.1038/s41588-021-00779-1,Multimodal pooled Perturb-CITE-seq screens in patient models define mechanisms of cancer immune evasion,Chris Frangieh,24714445,23.57 MB,Homo sapiens,RNA + protein (protein),7041849,h5ad,Perturb-CITE-seq,co-culture of melanoma and TILs,249,CRISPR-cas9,melanoma,melanocytes,primary,n,n,n,n,01.08.2020,2020
