download link,publication index,dataset index,doi link,publication title,author,bytes,size,organisms,modality,zenodo id,file extension,method,tissues,number of perturbations,perturbation,disease,cell type,tissue type,cancer,multiple_time_points,multiple_concentrations,combined_perturbations,date_of_submission,year
https://zenodo.org/record/7041849/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad,AdamsonWeissman2016,GSM2406675_10X001,https://doi.org/10.1016/j.cell.2016.11.048,A multiplexed single-cell CRISPR screening platform enables systematic dissection of the unfolded protein response,Britt Adamson,34557246,32.96 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,9,CRISPRi,Chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2019,2019
https://zenodo.org/record/7041849/files/AdamsonWeissman2016_GSM2406677_10X005.h5ad,AdamsonWeissman2016,GSM2406677_10X005,https://doi.org/10.1016/j.cell.2016.11.048,A multiplexed single-cell CRISPR screening platform enables systematic dissection of the unfolded protein response,Britt Adamson,139059637,132.62 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,20,CRISPRi,Chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,y,01.10.2019,2019
https://zenodo.org/record/7041849/files/DatlingerBock2017.h5ad,DatlingerBock2017,,https://doi.org/10.1038/nmeth.4177,Pooled CRISPR screening with single-cell transcriptome readout,Paul Datlinger,39085166,37.27 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,CROP-seq,Jurkat cells (immune cancer),97,"CRISPR-cas9, TCR stim",acute T cell leukemia,T cells,cell_line,y,n,n,y,01.12.2016,2016
https://zenodo.org/record/7041849/files/DatlingerBock2021.h5ad,DatlingerBock2021,,https://doi.org/10.1038/s41592-021-01153-z,Ultra-high-throughput single-cell RNA sequencing and perturbation screening with combinatorial fluidic indexing,Paul Datlinger,33600780,32.04 MB,Homo sapiens,RNA,7041849,h5ad,scifi-RNA-seq (derived from CROP-seq),Jurkat,48,"CRISPR-cas9, TCR stim",acute T cell leukemia,T cells,cell_line,y,n,n,y,01.12.2019,2019
https://zenodo.org/record/7041849/files/DixitRegev2016.h5ad,DixitRegev2016,,https://doi.org/10.1016/j.cell.2016.11.038,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,Atray Dixit,309282071,294.95 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,Perturb-seq,K562,31,CRISPR-cas9,myelogenous leukemia,lymphoblasts,,y,partially (TF knockout screen 7 and 13 dpi),n,y,01.11.2016,2016
https://zenodo.org/record/7041849/files/GasperiniShendure2019_atscale.h5ad,GasperiniShendure2019,atscale,https://doi.org/10.1016/j.cell.2018.11.029,A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens,Molly Gasperini,1866293566,1.74 GB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,K562,208,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.06.2018,2018
https://zenodo.org/record/7041849/files/GasperiniShendure2019_highMOI.h5ad,GasperiniShendure2019,highMOI,https://doi.org/10.1016/j.cell.2018.11.029,A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens,Molly Gasperini,418337592,398.96 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,K562,198,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.06.2018,2018
https://zenodo.org/record/7041849/files/GasperiniShendure2019_lowMOI.h5ad,GasperiniShendure2019,lowMOI,https://doi.org/10.1016/j.cell.2018.11.029,A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens,Molly Gasperini,322716827,307.77 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,K562,129,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.06.2018,2018
https://zenodo.org/record/7041849/files/NormanWeissman2019_filtered.h5ad,NormanWeissman2019,filtered,https://doi.org/10.1126/science.aax4438,Exploring genetic interaction manifolds constructed from rich single-cell phenotypes,Thomas Norman,698680199,666.31 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,237,CRISPRa,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.03.2019,2019
https://zenodo.org/record/7041849/files/ReplogleWeissman2022_K562_essential.h5ad,ReplogleWeissman2022,K562_essential,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,1546729675,1.44 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,,2058,CRISPRi,chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2022,2022
