index,download link,publication index,dataset index,doi link,publication title,author,bytes,size,organisms,modality,zenodo id,file extension,method,cell_line,number of perturbations,perturbation_type,disease,cell type,tissue type,cancer,multiple_time_points,multiple_concentrations,combined_perturbations,date_of_submission,year,memory,context,context_key
DatlingerBock2021,https://zenodo.org/record/7041849/files/DatlingerBock2021.h5ad,DatlingerBock2021,,https://doi.org/10.1038/s41592-021-01153-z,Ultra-high-throughput single-cell RNA sequencing and perturbation screening with combinatorial fluidic indexing,Paul Datlinger,33600780,32.04 MB,Homo sapiens,RNA,7041849,h5ad,scifi-RNA-seq (derived from CROP-seq),Jurkat,48,"CRISPR-cas9, TCR stim",acute T cell leukemia,T cells,cell_line,y,n,n,y,01.12.2019,2019,50GB,"CD4-positive, alpha-beta T cell",Jurkat;T cells
FrangiehIzar2021_RNA,https://zenodo.org/record/7041849/files/FrangiehIzar2021_RNA.h5ad,FrangiehIzar2021,RNA,https://doi.org/10.1038/s41588-021-00779-1,Multimodal pooled Perturb-CITE-seq screens in patient models define mechanisms of cancer immune evasion,Chris Frangieh,1458928348,1.36 GB,Homo sapiens,RNA + protein (RNA),7041849,h5ad,Perturb-CITE-seq,co-culture of melanoma and TILs,249,CRISPR-cas9,melanoma,melanocytes,primary,n,n,n,n,01.08.2020,2020,100GB,melanocyte,co-culture of melanoma and TILs;melanocytes
NormanWeissman2019_filtered,https://zenodo.org/record/7041849/files/NormanWeissman2019_filtered.h5ad,NormanWeissman2019,filtered,https://doi.org/10.1126/science.aax4438,Exploring genetic interaction manifolds constructed from rich single-cell phenotypes,Thomas Norman,698680199,666.31 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,237,CRISPRa,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.03.2019,2019,50GB,megakaryocyte-erythroid progenitor cell,K562;lymphoblasts
ReplogleWeissman2022_K562_gwps,https://zenodo.org/record/7041849/files/ReplogleWeissman2022_K562_gwps.h5ad,ReplogleWeissman2022,K562_gwps,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,8805466154,8.2 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,9867,CRISPRi,chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2022,2022,400GB,megakaryocyte-erythroid progenitor cell,K562;lymphoblasts
ReplogleWeissman2022_K562_essential,https://zenodo.org/record/7041849/files/ReplogleWeissman2022_K562_essential.h5ad,ReplogleWeissman2022,K562_essential,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,1546729675,1.44 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,,2058,CRISPRi,chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2022,2022,200GB,lymphocyte,;lymphoblasts
ReplogleWeissman2022_rpe1,https://zenodo.org/record/7041849/files/ReplogleWeissman2022_rpe1.h5ad,ReplogleWeissman2022,rpe1,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,1236886900,1.15 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,,2394,CRISPRi,chronic myeloid leukemia,epithelial,cell_line,n,n,n,n,01.10.2022,2022,200GB,epithelial cell of proximal tubule,;epithelial
ShifrutMarson2018,https://zenodo.org/record/7041849/files/ShifrutMarson2018.h5ad,ShifrutMarson2018,,https://doi.org/10.1016/j.cell.2018.10.024,Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,Eric Shifrut,253843410,242.08 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,Primary Human T Cells,49,"CRISPR-cas9, TCR stim",healthy,T cells,primary,n,n,n,y,01.09.2018,2018,50GB,T cell,Primary Human T Cells;T cells
TianKampmann2019_day7neuron,https://zenodo.org/record/7041849/files/TianKampmann2019_day7neuron.h5ad,TianKampmann2019,day7neuron,https://doi.org/10.1016/j.neuron.2019.07.014,CRISPR Interference-Based Platform for Multimodal Genetic Screens in Human iPSC-Derived Neurons,Ruilin Tian,268921535,256.46 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,iPSC derived neurons,27,CRISPRi,healthy,iPSC-induced neuron,primary,n,y,n,y,01.10.2019,2019,100GB,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,iPSC derived neurons;iPSC-induced neuron
TianKampmann2019_iPSC,https://zenodo.org/record/7041849/files/TianKampmann2019_iPSC.h5ad,TianKampmann2019,iPSC,https://doi.org/10.1016/j.neuron.2019.07.014,CRISPR Interference-Based Platform for Multimodal Genetic Screens in Human iPSC-Derived Neurons,Ruilin Tian,350848489,334.6 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,iPSC derived neurons,27,CRISPRi,healthy,iPSC,stem,n,y,n,y,01.10.2019,2019,100GB,hematopoietic stem cell,iPSC derived neurons;iPSC
TianKampmann2021_CRISPRa,https://zenodo.org/record/7041849/files/TianKampmann2021_CRISPRa.h5ad,TianKampmann2021,CRISPRa,https://doi.org/10.1038/s41593-021-00862-0,Genome-wide CRISPRi/a screens in human neurons link lysosomal failure to ferroptosis,Ruilin Tian,154788473,147.62 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,human iPSC-derived neurons,101,CRISPRa,healthy,iPSC-induced neuron,primary,n,n,n,n,01.07.2020,2020,50GB,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,human iPSC-derived neurons;iPSC-induced neuron
TianKampmann2021_CRISPRi,https://zenodo.org/record/7041849/files/TianKampmann2021_CRISPRi.h5ad,TianKampmann2021,CRISPRi,https://doi.org/10.1038/s41593-021-00862-0,Genome-wide CRISPRi/a screens in human neurons link lysosomal failure to ferroptosis,Ruilin Tian,289389479,275.98 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,human iPSC-derived neurons,185,CRISPRi,healthy,iPSC-induced neuron,primary,n,n,n,n,01.07.2020,2020,50GB,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,human iPSC-derived neurons;iPSC-induced neuron
ReplogleWeissman2025_HepG2,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264667/suppl/GSE264667%5Fhepg2%5Fraw%5Fsinglecell%5F01.h5ad,ReplogleWeissman2025,HepG2,https://doi.org/10.1038/s41588-025-02169-3,Transcriptome-wide analysis of differential expression in perturbation atlases,Joseph Replogle,1343665392,1.3 GB,Homo sapiens,RNA,-1,h5ad,Perturb-seq,HepG2,2394,CRISPRi,hepatocellular carcinoma,hepatocyte,cell_line,y,n,n,y,23.04.2024,2025,100GB,epithelial cell of proximal tubule,HepG2;hepatocyte
ReplogleWeissman2025_Jurkat,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264667/suppl/GSE264667%5Fjurkat%5Fraw%5Fsinglecell%5F01.h5ad,ReplogleWeissman2025,Jurkat,https://doi.org/10.1038/s41588-025-02169-3,Transcriptome-wide analysis of differential expression in perturbation atlases,Joseph Replogle,2036199106,1.9 GB,Homo sapiens,RNA,-1,h5ad,Perturb-seq,Jurkat,2394,CRISPRi,acute T cell leukemia,T cells,cell_line,y,n,n,y,23.04.2024,2025,150GB,"CD4-positive, alpha-beta T cell",Jurkat;T cells
XAtlas2025_HCT116,https://plus.figshare.com/ndownloader/files/55021257,XAtlas2025,HCT116,https://doi.org/10.1101/2025.06.11.659105,X-Atlas/Orion: Genome-wide Perturb-seq Datasets via a Scalable Fix-Cryopreserve Platform for Training Dose-Dependent Biological Foundation Models,Ci Chu,209318215168,194.98 GB, Homo sapiens,RNA,-1,h5ad,FiCS,HCT116,18293,CRISPRi,colorectal carcinoma,epithelial,cell_line,n,n,n,n,16.06.2025,2025,600GB,epithelial cell of proximal tubule,HCT116;epithelial
XAtlas2025_HEK293T,https://plus.figshare.com/ndownloader/files/55074802,XAtlas2025,HEK293T,https://doi.org/10.1101/2025.06.11.659105,X-Atlas/Orion: Genome-wide Perturb-seq Datasets via a Scalable Fix-Cryopreserve Platform for Training Dose-Dependent Biological Foundation Models,Ci Chu,349987037184,326.12 GB, Homo sapiens,RNA,-1,h5ad,FiCS,HEK293T,18293,CRISPRi,human embryonic kidney 293T,epithelial,cell_line,n,n,n,n,16.06.2025,2025,1000GB,kidney connecting tubule epithelial cell,HEK293T;epithelial
GSM6858450_processed_KD_guide_pooled_single,,Yao2023,KD,https://doi.org/10.1101/2023.01.23.525200,Compressed Perturb-seq: highly efficient screens for regulatory circuits using random composite perturbations,Douglas Yao,426220236,407 MB,Homo sapiens,RNA,-1,h5ad,Perturb-seq,THP-1,600,CRISPRi,Acute monocytic leukemia ,Macrophage,cell_line,y,n,n,n,01.01.2023,2023,10GB,macrophage,THP1;macrophage
